# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_MainMenu.layout	LoadGameButton	Button
Kenshi_MainMenu.layout	ImportGameButton	Button
Kenshi_MainMenu.layout	OptionsButton	Button
Kenshi_MainMenu.layout	CreditsButton	Button
Kenshi_MainMenu.layout	ExitButton	Button
Kenshi_MainMenu.layout	CreditsPanel	Widget
Kenshi_MainMenu.layout	CreditsPanelContent	TextBox
Kenshi_MainMenu.layout	VersionText	TextBox
Kenshi_MainMenuPopupPanel.layout	Root	Widget
Kenshi_MainMenuPopupPanel.layout	MainMenuPopupPanel	Widget
Kenshi_MainMenuPopupPanel.layout	NewGameButton	Button
Kenshi_MainMenuPopupPanel.layout	SaveGameButton	Button
Kenshi_MainMenuPopupPanel.layout	LoadGameButton	Button
Kenshi_MainMenuPopupPanel.layout	OptionsButton	Button
Kenshi_MainMenuPopupPanel.layout	ExitGameButton	Button
Kenshi_MainMenuPopupPanel.layout	ResumeButton	Button
Kenshi_MainPanel.layout	Root	Widget
Kenshi_MainPanel.layout	ShortcutsPanel	Widget
Kenshi_MainPanel.layout	ShortcutInventoryButton	Button
Kenshi_MainPanel.layout	ShortcutStatsButton	Button
Kenshi_MainPanel.layout	ShortcutMapButton	Button
Kenshi_MainPanel.layout	ShortcutTechButton	Button
Kenshi_MainPanel.layout	ShortcutSquadButton	Button
Kenshi_MainPanel.layout	ShortcutHelpButton	Button
Kenshi_MainPanel.layout	FloorPanel	Widget
Kenshi_MainPanel.layout	FloorArrowUp	Button
Kenshi_MainPanel.layout	FloorArrowDown	Button
Kenshi_MainPanel.layout	FloorText	TextBox
Kenshi_MainPanel.layout	SpeedButtonsPanel	Widget
Kenshi_MainPanel.layout	TimeSpeedButton1	Button
Kenshi_MainPanel.layout	TimeSpeedButton2	Button
Kenshi_MainPanel.layout	TimeSpeedButton3	Button
Kenshi_MainPanel.layout	TimeSpeedButton4	Button
Kenshi_MainPanel.layout	TimeMoneyPanel	Widget
Kenshi_MainPanel.layout	MoneyLabelText	TextBox
Kenshi_MainPanel.layout	MoneyAmountText	TextBox
Kenshi_MainPanel.layout	DayText	TextBox
Kenshi_MainPanel.layout	TimeText	TextBox
Kenshi_MainPanel.layout	SquadPanel	TabControl
Kenshi_MainPanel.layout	MedicalPanel	Widget
Kenshi_MainPanel.layout	MedicalPanel_Back	Widget
Kenshi_MainPanel.layout	LifeBar1	Widget
Kenshi_MainPanel.layout	LifeBar1Grey	Widget
Kenshi_MainPanel.layout	LifeBar1Red	Widget
Kenshi_MainPanel.layout	LifeBar1Yellow	Widget
Kenshi_MainPanel.layout	LifeBar1White	Widget
Kenshi_MainPanel.layout	LifeBar1Green	Widget
Kenshi_MainPanel.layout	LifeBar1Crushed	Widget
Kenshi_MainPanel.layout	LifeBar1Robot	Widget
Kenshi_MainPanel.layout	LifeBar1Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar2	Widget
Kenshi_MainPanel.layout	LifeBar2Grey	Widget
Kenshi_MainPanel.layout	LifeBar2Red	Widget
Kenshi_MainPanel.layout	LifeBar2Yellow	Widget
Kenshi_MainPanel.layout	LifeBar2White	Widget
Kenshi_MainPanel.layout	LifeBar2Green	Widget
Kenshi_MainPanel.layout	LifeBar2Crushed	Widget
Kenshi_MainPanel.layout	LifeBar2Robot	Widget
Kenshi_MainPanel.layout	LifeBar2Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar3	Widget
Kenshi_MainPanel.layout	LifeBar3Grey	Widget
Kenshi_MainPanel.layout	LifeBar3Red	Widget
Kenshi_MainPanel.layout	LifeBar3Yellow	Widget
Kenshi_MainPanel.layout	LifeBar3White	Widget
Kenshi_MainPanel.layout	LifeBar3Green	Widget
Kenshi_MainPanel.layout	LifeBar3Crushed	Widget
Kenshi_MainPanel.layout	LifeBar3Robot	Widget
Kenshi_MainPanel.layout	LifeBar3Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar4	Widget
Kenshi_MainPanel.layout	LifeBar4Grey	Widget
Kenshi_MainPanel.layout	LifeBar4Red	Widget
Kenshi_MainPanel.layout	LifeBar4Yellow	Widget
Kenshi_MainPanel.layout	LifeBar4White	Widget
Kenshi_MainPanel.layout	LifeBar4Green	Widget
Kenshi_MainPanel.layout	LifeBar4Crushed	Widget
Kenshi_MainPanel.layout	LifeBar4Robot	Widget
Kenshi_MainPanel.layout	LifeBar4Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar5	Widget
Kenshi_MainPanel.layout	LifeBar5Grey	Widget
Kenshi_MainPanel.layout	LifeBar5Red	Widget
Kenshi_MainPanel.layout	LifeBar5Yellow	Widget
Kenshi_MainPanel.layout	LifeBar5White	Widget
Kenshi_MainPanel.layout	LifeBar5Green	Widget
Kenshi_MainPanel.layout	LifeBar5Crushed	Widget
Kenshi_MainPanel.layout	LifeBar5Robot	Widget
Kenshi_MainPanel.layout	LifeBar5Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar6	Widget
Kenshi_MainPanel.layout	LifeBar6Grey	Widget
Kenshi_MainPanel.layout	LifeBar6Red	Widget
Kenshi_MainPanel.layout	LifeBar6Yellow	Widget
Kenshi_MainPanel.layout	LifeBar6White	Widget
Kenshi_MainPanel.layout	LifeBar6Green	Widget
Kenshi_MainPanel.layout	LifeBar6Crushed	Widget
Kenshi_MainPanel.layout	LifeBar6Robot	Widget
Kenshi_MainPanel.layout	LifeBar6Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar7	Widget
Kenshi_MainPanel.layout	LifeBar7Grey	Widget
Kenshi_MainPanel.layout	LifeBar7Red	Widget
Kenshi_MainPanel.layout	LifeBar7Yellow	Widget
Kenshi_MainPanel.layout	LifeBar7White	Widget
Kenshi_MainPanel.layout	LifeBar7Green	Widget
Kenshi_MainPanel.layout	LifeBar7Crushed	Widget
Kenshi_MainPanel.layout	LifeBar7Robot	Widget
Kenshi_MainPanel.layout	LifeBar7Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar8	Widget
Kenshi_MainPanel.layout	LifeBar8Grey	Widget
Kenshi_MainPanel.layout	LifeBar8Red	Widget
Kenshi_MainPanel.layout	LifeBar8Yellow	Widget
Kenshi_MainPanel.layout	LifeBar8White	Widget
Kenshi_MainPanel.layout	LifeBar8Green	Widget
Kenshi_MainPanel.layout	LifeBar8Crushed	Widget
Kenshi_MainPanel.layout	LifeBar8Robot	Widget
Kenshi_MainPanel.layout	LifeBar8Datapanel	Widget
Kenshi_MainPanel.layout	LifeBar9	Widget
Kenshi_MainPanel.layout	LifeBar9Grey	Widget
Kenshi_MainPanel.layout	LifeBar9Red	Widget
Kenshi_MainPanel.layout	LifeBar9Yellow	Widget
Kenshi_MainPanel.layout	LifeBar9White	Widget
Kenshi_MainPanel.layout	LifeBar9Green	Widget
Kenshi_MainPanel.layout	LifeBar9Crushed	Widget
Kenshi_MainPanel.layout	LifeBar9Robot	Widget
