# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_MainPanel.layout	LifeBar9Datapanel	Widget
Kenshi_MainPanel.layout	MedicalPanel_Front	Widget
Kenshi_MainPanel.layout	LifeBar1Value	TextBox
Kenshi_MainPanel.layout	LifeBar2Value	TextBox
Kenshi_MainPanel.layout	LifeBar3Value	TextBox
Kenshi_MainPanel.layout	LifeBar4Value	TextBox
Kenshi_MainPanel.layout	LifeBar5Value	TextBox
Kenshi_MainPanel.layout	LifeBar6Value	TextBox
Kenshi_MainPanel.layout	LifeBar7Value	TextBox
Kenshi_MainPanel.layout	LifeBar8Value	TextBox
Kenshi_MainPanel.layout	LifeBar9Value	TextBox
Kenshi_MainPanel.layout	StatusPanel	Widget
Kenshi_MainPanel.layout	HealthText	TextBox
Kenshi_MainPanel.layout	LifeBar1Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar2Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar3Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar4Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar5Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar6Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar7Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar8Tooltip	Widget
Kenshi_MainPanel.layout	LifeBar9Tooltip	Widget
Kenshi_MainPanel.layout	OrdersPanel	Widget
Kenshi_MainPanel.layout	OrdersBlockButton	Button
Kenshi_MainPanel.layout	OrdersHoldButton	Button
Kenshi_MainPanel.layout	OrdersChaseButton	Button
Kenshi_MainPanel.layout	OrdersRangedButton	Button
Kenshi_MainPanel.layout	OrdersTauntButton	Button
Kenshi_MainPanel.layout	SpeedArrowLeft	Button
Kenshi_MainPanel.layout	SpeedArrowRight	Button
Kenshi_MainPanel.layout	OrdersSneakButton	Button
Kenshi_MainPanel.layout	SpeedPanel	ImageBox
Kenshi_MainPanel.layout	JobsPanel	ItemBox
Kenshi_MainPanel.layout	JobsPanelInfo	EditBox
Kenshi_MainPanel.layout	OrdersMedicButton	Button
Kenshi_MainPanel.layout	OrdersRescueButton	Button
Kenshi_MainPanel.layout	OrdersProspectButton	Button
Kenshi_MainPanel.layout	BehaviorSlider	ScrollBar
Kenshi_MainPanel.layout	OrdersPassiveButton	Button
Kenshi_MainPanel.layout	InformationPanel	Widget
Kenshi_MainPanel.layout	ExtendingPanel	Widget
Kenshi_MainPanel.layout	BountyPanel	Widget
Kenshi_MainPanel.layout	BountyText	Widget
Kenshi_MainPanel.layout	NamePanel	Widget
Kenshi_MainPanel.layout	NameText	Widget
Kenshi_MainPanel.layout	ExtendedStatsPanel	Widget
Kenshi_MainPanel.layout	ExtendedStatsText	Widget
Kenshi_MainPanel.layout	StateText	Widget
Kenshi_MainPanel.layout	StatsPanel	Widget
Kenshi_MainPanel.layout	StatsText	Widget
Kenshi_MainPanel.layout	ExtendedStatsButton	Button
Kenshi_MainPanel.layout	TooltipPanel	Widget
Kenshi_MainPanel.layout	PausedPanel	Widget
Kenshi_MainPanel.layout	lbPaused	TextBox
Kenshi_MainPanel.layout	LoadingPanel	TextBox
Kenshi_MainPanel.layout	BuildPanel	Widget
Kenshi_MainPanel.layout	BuildButton	Button
Kenshi_MainPanel.layout	TownPanel	Widget
Kenshi_MainPanel.layout	OutpostNameEditBox	EditBox
Kenshi_MainPanel.layout	lbOutpostOpenToPublic	TextBox
Kenshi_MainPanel.layout	lbOutpostResearch	TextBox
Kenshi_MainPanel.layout	lbOutpostPower	TextBox
Kenshi_MainPanel.layout	lbOutpostBattery	TextBox
Kenshi_MainPanel.layout	OpenToPublicCheckBox	Button
Kenshi_MainPanel.layout	ResearchProgressBar	ProgressBar
Kenshi_MainPanel.layout	ResearchProgressBarCaption	TextBox
Kenshi_MainPanel.layout	PowerProgressBar	ProgressBar
Kenshi_MainPanel.layout	PowerProgressBarCaption	TextBox
Kenshi_MainPanel.layout	BatteryProgressBar	ProgressBar
Kenshi_MainPanel.layout	BatteryProgressBarCaption	TextBox
Kenshi_MainPanel.layout	MessagePanel	Widget
Kenshi_MainPanel.layout	BiomeTextPanel	Widget
Kenshi_MainPanel.layout	BiomeNameTopLine	Widget
Kenshi_MainPanel.layout	BiomeTextBox	TextBox
Kenshi_MainPanel.layout	BiomeNameBottomLine	Widget
Kenshi_MessageBox.layout	Root	Window
Kenshi_MessageBox.layout	MessageText	EditBox
Kenshi_MessageBox.layout	ButtonA	Button
Kenshi_MessageBox.layout	ButtonB	Button
Kenshi_MessageBox.layout	ButtonC	Button
Kenshi_MessagePanel.layout	Root	Widget
Kenshi_MessagePanel.layout	MessageTextBox	EditBox
Kenshi_NewGamePanel.layout	Root	Widget
Kenshi_NewGamePanel.layout	LeftButton	Button
Kenshi_NewGamePanel.layout	RightButton	Button
Kenshi_NewGamePanel.layout	lbChooseBeginning	TextBox
Kenshi_NewGamePanel.layout	TitleTextBox	TextBox
Kenshi_NewGamePanel.layout	DescriptionPanel	Widget
Kenshi_NewGamePanel.layout	BeginButton	Button
Kenshi_NewGamePanel.layout	AdvancedButton	Button
Kenshi_NewGamePanel.layout	CancelButton	Button
Kenshi_OpenSaveFileDialog.layout	Root	Window
Kenshi_OpenSaveFileDialog.layout	EditFileName	EditBox
Kenshi_OpenSaveFileDialog.layout	ButtonOpenSave	Button
Kenshi_OpenSaveFileDialog.layout	CurrentFolder	ComboBox
Kenshi_OpenSaveFileDialog.layout	ButtonUp	Button
Kenshi_OpenSaveFileDialog.layout	ButtonCancel	Button
Kenshi_OpenSaveFileDialog.layout	ListFiles	ListBox
Kenshi_OptionsPanel.layout	Root	Window
Kenshi_OptionsPanel.layout	OptionsTab	TabControl
Kenshi_OptionsPanel.layout	CloseButton	Button
Kenshi_OptionsPanel.layout	DefaultButton	Button
Kenshi_OptionsPanel.layout	TooltipPanel	Widget
Kenshi_OrdersPanelOrder.layout	Root	Widget
Kenshi_OrdersPanelOrder.layout	OrderText	TextBox
Kenshi_OrdersPanelOrder.layout	RemoveButton	Button
Kenshi_OverviewWindow.layout	Root	Window
Kenshi_OverviewWindow.layout	TabsMain	TabControl
Kenshi_OverviewWindow.layout	MapTab	TabItem
Kenshi_OverviewWindow.layout	MapScrollView	ScrollView
Kenshi_OverviewWindow.layout	MapImage	ImageBox
Kenshi_OverviewWindow.layout	CameraMarker	ImageBox
Kenshi_OverviewWindow.layout	MovemementMarker	ImageBox
Kenshi_OverviewWindow.layout	MapCenterButton	Button
Kenshi_OverviewWindow.layout	MapZoomOutButton	Button
Kenshi_OverviewWindow.layout	MapZoomInButton	Button
Kenshi_OverviewWindow.layout	FactionTab	TabItem
Kenshi_OverviewWindow.layout	RelationsPanel	ScrollView
Kenshi_OverviewWindow.layout	FactionNameText	EditBox
Kenshi_OverviewWindow.layout	lbFactionName	TextBox
Kenshi_OverviewWindow.layout	FactionInfoPanel	Widget
Kenshi_OverviewWindow.layout	lbFactionInfo	TextBox
Kenshi_OverviewWindow.layout	ResearchTab	TabItem
Kenshi_OverviewWindow.layout	ResearchTypeList	ListBox
Kenshi_OverviewWindow.layout	BlueprintsAvailablePanel	Widget
Kenshi_OverviewWindow.layout	ResearchQueueList	ItemBox
Kenshi_OverviewWindow.layout	ResearchBenchMessage	EditBox
Kenshi_OverviewWindow.layout	lbResearchTypes	TextBox
Kenshi_OverviewWindow.layout	lbResearchBlueprints	TextBox
Kenshi_OverviewWindow.layout	lbResearchQueue	TextBox
Kenshi_OverviewWindow.layout	lbResearchDescription	TextBox
Kenshi_OverviewWindow.layout	ResearchDescriptionPanel1	Widget
Kenshi_OverviewWindow.layout	ResearchDescriptionPanel2	Widget
Kenshi_OverviewWindow.layout	CraftTab	TabItem
Kenshi_OverviewWindow.layout	lbCraftingStations	TextBox
Kenshi_OverviewWindow.layout	QueueItemsPanel	Widget
Kenshi_OverviewWindow.layout	CraftQueue	ItemBox
Kenshi_OverviewWindow.layout	QueueDescriptionPanel1	Widget
Kenshi_OverviewWindow.layout	QueueDescriptionPanel2	Widget
Kenshi_OverviewWindow.layout	lbCraftingQueue	TextBox
Kenshi_OverviewWindow.layout	lbCraftingDescription	TextBox
Kenshi_OverviewWindow.layout	lbCraftingItems	TextBox
Kenshi_OverviewWindow.layout	CraftingStationsList	ListBox
Kenshi_OverviewWindow.layout	QueueRepeat	Button
Kenshi_OverviewWindow.layout	SquadsTab	TabItem
Kenshi_OverviewWindow.layout	FactionSizeText	TextBox
Kenshi_OverviewWindow.layout	NewSquadButton	Button
Kenshi_OverviewWindow.layout	SquadsPanel	ItemBox
Kenshi_OverviewWindow.layout	DismissCharPanel	ItemBox
Kenshi_OverviewWindow.layout	lbSquadsDismiss	TextBox
Kenshi_OverviewWindow.layout	MessagesTab	TabItem
Kenshi_OverviewWindow.layout	MessagesTextBox	EditBox
Kenshi_OverviewWindow.layout	AIToolTip	Widget
Kenshi_OverviewWindow.layout	AIOptions	Widget
Kenshi_PortraitCharacter.layout	Root	Widget
Kenshi_PortraitCharacter.layout	BackgroundImage	ImageBox
Kenshi_PortraitCharacter.layout	BackImage	ImageBox
Kenshi_PortraitCharacter.layout	FrontImage	ImageBox
Kenshi_PortraitCharacter.layout	PortraitImage	ImageBox
Kenshi_PortraitCharacter.layout	NameText	EditBox
Kenshi_PortraitCharacter.layout	BorderPanel	Button
Kenshi_ProgressBarPanel.layout	Root	Widget
Kenshi_ProgressBarPanel.layout	ProgressBar	ProgressBar
Kenshi_ProgressBarPanel.layout	Text	TextBox
Kenshi_ProspectingWindow.layout	Root	Window
Kenshi_ProspectingWindow.layout	OverviewDatapanel1	Widget
Kenshi_ProspectingWindow.layout	OverviewDatapanel2	Widget
Kenshi_ProspectingWindow.layout	Map	ImageBox
Kenshi_ProspectingWindow.layout	CameraMarker	ImageBox
Kenshi_ProspectingWindow.layout	ResourcesList	Widget
Kenshi_ProspectingWindow.layout	lbOverview	TextBox
Kenshi_ProspectingWindow.layout	lbResources	TextBox
Kenshi_ProspectingWindowResourceLine.layout	Root	Widget
Kenshi_ProspectingWindowResourceLine.layout	CheckboxButton	Button
Kenshi_ProspectingWindowResourceLine.layout	ValueText	TextBox
Kenshi_SaveGamePanel.layout	Root	Widget
Kenshi_SaveGamePanel.layout	lbTitle	TextBox
Kenshi_SaveGamePanel.layout	InfoPanel	Widget
Kenshi_SaveGamePanel.layout	SaveButton	Button
Kenshi_SaveGamePanel.layout	CancelButton	Button
Kenshi_SaveGamePanel.layout	GamesList	MultiListBox
Kenshi_SaveGamePanel.layout	SaveEditBox	EditBox
Kenshi_SpeechPanel.layout	Root	Widget
Kenshi_SpeechPanel.layout	SpeechText	EditBox
Kenshi_SquadBox.layout	Root	Widget
Kenshi_SquadBox.layout	SquadNameText	EditBox
Kenshi_SquadBox.layout	PortraitsPanel	ItemBox
Kenshi_SquadBox.layout	SquadRemoveButton	Button
Kenshi_SquadBox.layout	SquadSizeText	TextBox
Kenshi_SquadsPanel_PortraitCharacter.layout	Root	Widget
Kenshi_SquadsPanel_PortraitCharacter.layout	PortraitImage	ImageBox
Kenshi_SquadsPanel_PortraitCharacter.layout	NameText	EditBox
Kenshi_SquadsPanel_PortraitCharacter.layout	BorderPanel	Button
Kenshi_StatsWindow.layout	Root	Window
Kenshi_StatsWindow.layout	lbAttributes	TextBox
Kenshi_StatsWindow.layout	lbSkills	TextBox
Kenshi_StatsWindow.layout	Description1Panel	Widget
Kenshi_StatsWindow.layout	Description2Panel	Widget
Kenshi_StatsWindow.layout	lbDescription	TextBox
Kenshi_StatsWindow.layout	lbDerivedStats	TextBox
Kenshi_StatsWindow.layout	StatisticsPanel	Widget
Kenshi_StatsWindow.layout	Skills1Panel	Widget
Kenshi_StatsWindow.layout	Skills2Panel	Widget
Kenshi_StatsWindow.layout	Skills3Panel	Widget
Kenshi_StatsWindow.layout	Skills4Panel	Widget
Kenshi_StatsWindow.layout	AttributesPanel	Widget
Kenshi_TutorialPanel.layout	Root	Widget
Kenshi_TutorialPanel.layout	TooltipsPanel	Widget
Kenshi_TutorialPanel.layout	TutorialWindow	Window
Kenshi_TutorialPanel.layout	NextTutorialButton	Button
Kenshi_TutorialPanel.layout	PrevTutorialButton	Button
Kenshi_TutorialPanel.layout	DismissButton	Button
Kenshi_TutorialPanel.layout	TutorialDescription	EditBox
Kenshi_TutorialPanel.layout	PagingText	TextBox
Kenshi_TutorialTooltipPanel.layout	Root	Widget
Kenshi_TutorialTooltipPanel.layout	NameButton	Button
Kenshi_TutorialTooltipPanel.layout	CloseButton	Button
Kenshi_TutorialsWindow.layout	Root	Window
Kenshi_TutorialsWindow.layout	NextTutorialButton	Button
Kenshi_TutorialsWindow.layout	PrevTutorialButton	Button
Kenshi_TutorialsWindow.layout	ActivateButton	Button
Kenshi_TutorialsWindow.layout	TutorialDescription	EditBox
Kenshi_TutorialsWindow.layout	PagingText	TextBox
Kenshi_TutorialsWindow.layout	TutorialList	ListBox
infoboxmain.layout	_Main	Widget
infoboxmain.layout	ch1	Button
infoboxmain.layout	ch2	Button
infoboxmain.layout	ch3	Button
infoboxmain.layout	ch4	Button
infoboxmain.layout	run	Button
infoboxmain.layout	jog	Button
infoboxmain.layout	walk	Button
infoboxmain.layout	medbut	Button
infoboxmain.layout	rescuebut	Button
infoboxmain.layout	title	TextBox
infoboxmain.layout	datapanel	List
infoboxmain.layout	ch5	Button
infoboxmain.layout	prospecting	Button
infoboxmain.layout	stealth	Button
item_box_v.layout	Root	ItemBox
